415.58,1256,3024,13964,182,207,-30
415.59,1256,3076,14156,413,192,-29
415.6,1300,3100,14080,332,188,20
415.61,1100,3156,13576,-631,230,131
415.62,1296,2980,13816,-467,-20,97
415.63,1448,3136,14652,1200,367,-124
415.64,1308,3408,14528,1353,421,-127
415.65,1192,3376,14036,158,140,5
415.66,1188,3156,14092,146,376,-8
415.67,1140,3368,13572,-350,110,84
415.68,1140,3128,13480,-646,-112,135
415.69,1304,2928,13788,164,12,60
415.7,1472,3092,14016,534,-60,5
415.71,1316,3252,14236,624,-102,-17
415.72,1212,3268,14148,502,17,19
415.73,1192,3376,14084,301,121,6
415.74,1288,3344,14112,232,168,1
415.75,1400,3524,14288,227,223,-23
415.76,1376,3268,14040,166,330,-67
415.77,1376,3372,13880,278,276,-77
415.78,1460,3240,13800,233,285,-40
415.79,1356,3132,13684,449,280,-55
415.8,1296,3292,13828,866,156,-42
415.81,1320,3188,13932,891,125,-63
415.82,1316,3324,13908,845,182,-49
415.83,1324,3300,13992,800,169,-24
415.84,1236,3388,13968,711,179,-39
415.85,1236,3368,14108,643,268,-16
415.86,1364,3412,14048,648,350,-48
415.87,1292,3428,13980,671,301,-46
415.88,1304,3436,13888,670,258,-50
415.89,1176,3460,13952,653,253,-73
415.9,1360,3492,13972,734,277,-72
415.91,1176,3580,13992,679,249,-33
415.92,1308,3564,13972,659,262,-72
415.93,1436,3564,14004,808,243,-43
415.94,1248,3624,14016,907,273,-81
415.95,1324,3708,13992,1010,349,-102
415.96,1260,3844,14024,977,314,-95
415.97,1276,3712,14100,927,249,-103
415.98,1220,3700,14240,962,601,-108
415.99,1104,3704,13592,293,231,-29
416.0,1296,3548,13788,310,274,-56
416.01,1324,3756,13916,997,329,-117
416.02,1232,3764,14060,996,237,-113
416.03,1284,3796,14080,693,297,-85
416.04,1296,3808,13916,421,237,-66
416.05,1156,3748,13900,371,209,-46
416.06,1280,3796,13936,421,145,-34
416.07,1360,3892,14008,421,157,-40
416.08,1312,3800,14004,442,182,-65
416.09,1304,3872,13968,469,230,-48
416.1,1336,3932,14084,472,259,-55
416.11,1148,3952,14064,375,296,-65
416.12,1220,3812,13840,358,312,-68
416.13,1296,3920,13764,326,318,-56
416.14,1152,3888,13932,389,300,-70
416.15,1192,3848,13940,446,300,-43
416.16,1296,3964,13916,278,271,-42
416.17,1172,3864,13812,168,253,-41
416.18,1260,3908,13912,193,228,-21
416.19,1200,3960,13996,203,266,-51
416.2,1248,4036,13888,191,263,-44
416.21,1252,3952,13976,130,249,-55
416.22,1236,3996,13944,71,279,-4
416.23,1112,3904,13868,78,263,-46
416.24,1220,3952,13772,86,268,-35
416.25,1220,3972,13972,101,251,-61
416.26,1320,4008,13796,105,270,-35
416.27,1204,4080,13960,100,265,-42
416.28,1196,3920,14036,62,285,-42
416.29,1196,4056,14004,79,264,-49
416.3,1248,4032,13832,64,249,-40
416.31,1192,4000,13916,35,264,-19
416.32,1236,4036,13876,-19,249,-26
416.33,1204,4032,13772,-48,249,-30
416.34,1204,3972,13912,-21,250,-42
416.35,1116,4000,13912,-2,233,-46
416.36,1124,3972,13920,-5,256,-48
416.37,1300,4084,13976,19,295,-41
416.38,1244,4020,13832,-5,259,-51
416.39,1184,4028,13820,4,324,-51
416.4,1296,3948,13888,49,295,-36
416.41,1204,4028,13764,4,319,-56
416.42,1164,3976,13964,-30,278,-44
416.43,1116,4100,13788,-110,282,-46
416.44,1100,4012,13972,-102,266,-29
416.45,1124,4120,14060,-130,231,-33
416.46,1196,4160,13944,-146,226,-22
416.47,1252,4040,13804,-163,225,-13
416.48,1192,4096,13940,-193,243,-28
416.49,1200,4048,13776,-211,224,-9
416.5,1148,4008,13860,-208,241,-7
416.51,1240,4060,14024,-242,226,-5
416.52,1196,4092,13776,-214,249,8
416.53,1164,4048,13880,-256,269,-25
416.54,1244,4072,13904,-298,261,-7
416.55,1172,4004,13808,-309,220,-8
416.56,1196,3968,13844,-309,212,5
416.57,1088,3988,13916,-306,229,-12
416.58,1208,4064,13900,-313,241,16
416.59,1096,4044,13948,-342,248,-19
416.6,1160,3916,13980,-375,228,-19
416.61,1128,4044,13992,-428,259,0
416.62,1280,4076,13940,-508,257,1
416.63,1224,4072,13972,-644,217,-3
416.64,1108,3952,13896,-792,186,10
416.65,1152,3948,13864,-835,172,33
416.66,1152,3952,13972,-642,223,18
416.67,1136,4084,14144,-520,333,-38
416.68,1148,3976,14096,-635,369,-25
416.69,1172,4024,14040,-872,273,-3
416.7,1084,3952,13868,-1084,219,21
416.71,1268,3900,13908,-1086,65,38
416.72,1144,3860,14084,-1161,10,109
416.73,1232,3912,13944,-1537,197,151
416.74,1152,3824,13636,-2249,3,207
416.75,1476,3724,14256,-1605,121,117
416.76,1260,3932,14376,-676,247,25
416.77,1132,3836,13828,-1497,-124,114
416.78,1260,3632,13960,-1719,89,115
416.79,1108,3556,13756,-1714,89,181
416.8,1088,3400,13488,-2400,-345,279
416.81,1216,3276,13676,-1943,-225,270
416.82,1316,3496,14160,-950,-228,155
416.83,1420,3756,14228,-949,-229,125
416.84,1296,3708,14116,-1333,-185,162
416.85,1192,3620,14208,-1646,-75,195
416.86,1148,3596,14068,-1851,-34,247
416.87,1264,3484,14072,-1850,-2,205
416.88,1308,3408,13996,-1707,62,155
416.89,1256,3384,14140,-1777,91,167
416.9,1276,3208,13900,-1815,165,127
416.91,1240,3040,13864,-1707,89,144
416.92,1376,3064,13892,-1504,-35,126
416.93,1380,3128,13996,-1201,41,145
416.94,1348,3064,14148,-1069,-3,113
